Date,Open,High,Low,Close,Adj Close,Volume
2022-02-25,1676.119995,1684.500000,1670.130005,1679.900024,1679.900024,7614200
2022-02-28,1678.050049,1690.609985,1668.050049,1685.180054,1685.180054,7588100
2022-03-01,1694.949951,1701.689941,1690.819946,1694.280029,1694.280029,7949600
2022-03-02,1694.640015,1699.579956,1684.530029,1689.810059,1689.810059,7968200
2022-03-03,1701.260010,1705.500000,1691.199951,1696.079956,1696.079956,7763900
2022-03-04,1687.989990,1689.890015,1671.699951,1671.719971,1671.719971,10830200
2022-03-07,1654.430054,1655.189941,1616.079956,1626.699951,1626.699951,11939100
2022-03-08,1622.030029,1633.500000,1580.800049,1619.099976,1619.099976,14194400
2022-03-09,1626.719971,1643.869995,1610.339966,1643.640015,1643.640015,10990700
2022-03-10,1652.989990,1659.290039,1643.390015,1647.079956,1647.079956,10038000
2022-03-11,1642.270020,1659.670044,1637.930054,1658.010010,1658.010010,10267300
2022-03-14,1656.359985,1662.660034,1651.900024,1660.150024,1660.150024,7698000
2022-03-15,1656.780029,1663.319946,1639.900024,1644.359985,1644.359985,8493900
2022-03-16,1655.010010,1668.949951,1653.869995,1667.920044,1667.920044,6360200
2022-03-17,1679.270020,1686.449951,1677.189941,1681.760010,1681.760010,7930900
2022-03-18,1684.119995,1685.680054,1677.160034,1678.510010,1678.510010,7508200
2022-03-21,1683.689941,1685.780029,1671.079956,1673.869995,1673.869995,6833200
2022-03-22,1672.989990,1680.000000,1670.550049,1677.869995,1677.869995,6708400
2022-03-23,1684.030029,1686.140015,1676.880005,1677.949951,1677.949951,6830500
2022-03-24,1677.520020,1685.119995,1675.189941,1680.890015,1680.890015,6238100
2022-03-25,1683.670044,1685.410034,1674.119995,1676.800049,1676.800049,6556600
2022-03-28,1678.130005,1687.199951,1676.750000,1684.300049,1684.300049,5591600
2022-03-29,1688.520020,1692.900024,1686.839966,1689.739990,1689.739990,7110900
2022-03-30,1694.839966,1702.670044,1692.729980,1698.400024,1698.400024,8530000
2022-03-31,1698.800049,1701.949951,1693.160034,1695.239990,1695.239990,8493900
2022-04-01,1693.670044,1701.989990,1690.699951,1701.310059,1701.310059,7818900
2022-04-04,1704.640015,1706.770020,1699.819946,1702.930054,1702.930054,6906100
2022-04-05,1705.859985,1708.890015,1698.329956,1701.180054,1701.180054,6493000
2022-04-07,1693.459961,1694.229980,1674.810059,1682.410034,1682.410034,8524400
2022-04-08,1684.660034,1690.579956,1678.069946,1686.000000,1686.000000,5788100
2022-04-11,1683.449951,1685.949951,1675.949951,1678.459961,1678.459961,6022800
2022-04-12,1673.719971,1678.439941,1669.359985,1674.339966,1674.339966,4331900
2022-04-18,1669.089966,1675.949951,1665.250000,1668.060059,1668.060059,5437700
2022-04-19,1675.260010,1681.750000,1673.910034,1675.619995,1675.619995,6926000
2022-04-20,1678.500000,1685.900024,1675.579956,1680.349976,1680.349976,6160600
2022-04-21,1686.310059,1693.969971,1682.650024,1690.550049,1690.550049,6054700
2022-04-22,1686.260010,1690.589966,1680.859985,1690.589966,1690.589966,7478300
2022-04-25,1677.550049,1683.060059,1672.989990,1675.329956,1675.329956,6904400
2022-04-26,1681.739990,1685.420044,1668.760010,1668.969971,1668.969971,9374000
2022-04-27,1667.449951,1670.219971,1655.250000,1661.890015,1661.890015,0
